DATE,WTI_Crude
2010-01-01,78.22
2010-02-01,76.42
2010-03-01,81.24
2010-04-01,84.48
2010-05-01,73.84
2010-06-01,75.35
2010-07-01,76.37
2010-08-01,76.82
2010-09-01,75.31
2010-10-01,81.9
2010-11-01,84.14
2010-12-01,89.04
2011-01-01,89.42
2011-02-01,89.58
2011-03-01,102.94
2011-04-01,110.04
2011-05-01,101.33
2011-06-01,96.29
2011-07-01,97.19
2011-08-01,86.33
2011-09-01,85.61
2011-10-01,86.41
2011-11-01,97.21
2011-12-01,98.57
2012-01-01,100.24
2012-02-01,102.25
2012-03-01,106.19
2012-04-01,103.33
2012-05-01,94.7
2012-06-01,82.41
2012-07-01,87.93
2012-08-01,94.16
2012-09-01,94.72
2012-10-01,89.57
2012-11-01,86.66
2012-12-01,88.25
2013-01-01,94.69
2013-02-01,95.32
2013-03-01,93.05
2013-04-01,92.07
2013-05-01,94.8
2013-06-01,95.8
2013-07-01,104.61
2013-08-01,106.57
2013-09-01,106.29
2013-10-01,100.54
2013-11-01,93.86
2013-12-01,97.63
2014-01-01,94.62
2014-02-01,100.82
2014-03-01,100.8
2014-04-01,102.07
2014-05-01,102.18
2014-06-01,105.79
2014-07-01,103.59
2014-08-01,96.54
2014-09-01,93.21
2014-10-01,84.4
2014-11-01,75.79
2014-12-01,59.29
2015-01-01,47.22
2015-02-01,50.58
2015-03-01,47.82
2015-04-01,54.45
2015-05-01,59.27
2015-06-01,59.82
2015-07-01,50.9
2015-08-01,42.87
2015-09-01,45.48
2015-10-01,46.22
2015-11-01,42.44
2015-12-01,37.19
2016-01-01,31.68
2016-02-01,30.32
2016-03-01,37.55
2016-04-01,40.75
2016-05-01,46.71
2016-06-01,48.76
2016-07-01,44.65
2016-08-01,44.72
2016-09-01,45.18
2016-10-01,49.78
2016-11-01,45.66
2016-12-01,51.97
2017-01-01,52.5
2017-02-01,53.47
2017-03-01,49.33
2017-04-01,51.06
2017-05-01,48.48
2017-06-01,45.18
2017-07-01,46.63
2017-08-01,48.04
2017-09-01,49.82
2017-10-01,51.58
2017-11-01,56.64
2017-12-01,57.88
2018-01-01,63.7
2018-02-01,62.23
2018-03-01,62.73
2018-04-01,66.25
2018-05-01,69.98
2018-06-01,67.87
2018-07-01,70.98
2018-08-01,68.06
2018-09-01,70.23
2018-10-01,70.75
2018-11-01,56.96
2018-12-01,49.52
2019-01-01,51.38
2019-02-01,54.95
2019-03-01,58.15
2019-04-01,63.86
2019-05-01,60.83
2019-06-01,54.66
2019-07-01,57.35
2019-08-01,54.81
2019-09-01,56.95
2019-10-01,53.96
2019-11-01,57.03
2019-12-01,59.88
2020-01-01,57.52
2020-02-01,50.54
2020-03-01,29.21
2020-04-01,16.55
2020-05-01,28.56
2020-06-01,38.31
2020-07-01,40.71
2020-08-01,42.34
2020-09-01,39.63
2020-10-01,39.4
2020-11-01,40.94
2020-12-01,47.02
2021-01-01,52.0
2021-02-01,59.04
2021-03-01,62.33
2021-04-01,61.72
2021-05-01,65.17
2021-06-01,71.38
2021-07-01,72.49
2021-08-01,67.73
2021-09-01,71.65
2021-10-01,81.48
2021-11-01,79.15
2021-12-01,71.71
2022-01-01,83.22
2022-02-01,91.64
2022-03-01,108.5
2022-04-01,101.78
2022-05-01,109.55
2022-06-01,114.84
2022-07-01,101.62
2022-08-01,93.67
2022-09-01,84.26
2022-10-01,87.55
2022-11-01,84.37
2022-12-01,76.44
2023-01-01,78.12
2023-02-01,76.83
2023-03-01,73.28
2023-04-01,79.45
2023-05-01,71.58
2023-06-01,70.25
2023-07-01,76.07
2023-08-01,81.39
2023-09-01,89.43
2023-10-01,85.64
2023-11-01,77.69
2023-12-01,71.9
2024-01-01,74.15
2024-02-01,77.25
2024-03-01,81.28
2024-04-01,85.35
2024-05-01,80.02
2024-06-01,79.77
2024-07-01,81.8
2024-08-01,76.68
2024-09-01,70.24
2024-10-01,71.99
2024-11-01,69.95
2024-12-01,70.12
2025-01-01,75.74
2025-02-01,71.53
2025-03-01,68.24
2025-04-01,63.54
2025-05-01,62.17
2025-06-01,68.17
2025-07-01,68.39
2025-08-01,64.86
2025-09-01,63.96
2025-10-01,60.89
2025-11-01,60.06
2025-12-01,57.97
2026-01-01,60.04
2026-02-01,64.51
2026-03-01,91.38
2026-04-01,100.32
2026-05-01,102.13
2026-06-01,84.81
